Slit_separation_fs,Delay_fs,Reflectivity,Series
-1450.0,232541.147630451,0.0138597464895767,model
-1450.0,232660.437735038,0.00951655476053043,model
-1450.0,232779.72783962602,0.00781873421481621,model
-1450.0,232899.017944214,0.00946687882452494,model
-1450.0,233018.30804880097,0.0114917202497164,model
-1450.0,233137.59815338903,0.0109705666800863,model
-1450.0,233256.888257976,0.00816279931348187,model
-1450.0,233376.17836256398,0.00579580192037809,model
-1450.0,233495.468467151,0.00581936654673707,model
-1450.0,233614.75857173902,0.00743058640290646,model
-1450.0,233734.048676327,0.00827325227248547,model
-1450.0,233853.338780914,0.007122368282069,model
-1450.0,233972.62888550202,0.00503670977537658,model
-1450.0,234091.91899008903,0.00396993339395235,model
-1450.0,234211.209094677,0.00460949231562939,model
-1450.0,234330.49919926497,0.00579485090664042,model
-1450.0,234449.78930385198,0.00593753264221161,model
-1450.0,234569.07940844,0.00473000654205579,model
-1450.0,234688.36951302702,0.00333212916894288,model
-1450.0,234807.659617615,0.00300422710658172,model
-1450.0,234926.94972220302,0.00377729333515678,model
-1450.0,235046.23982679003,0.00453980916994825,model
-1450.0,235165.529931378,0.00430811207589649,model
-1450.0,235284.82003596498,0.0032416362659423,model
-1450.0,235404.11014055304,0.00236990938306016,model
-1450.0,235523.400245141,0.00243831401191966,model
-1450.0,235642.690349728,0.00315341471164364,model
-1450.0,235761.980454316,0.00357881403031218,model
