freq_THz,vg_m_per_s,lambda_geom_inv_s
208.7,358007354.0578103,51863101777.80502
208.75,356546742.5358783,52075561562.12677
208.8,355089859.59746,52289220147.68712
208.85,353636699.5490569,52504086437.80255
208.9,352187256.7450492,52720169413.011856
208.95,350741525.5863553,52937478131.97403
209.0,349299500.52120745,53156021732.05968
209.05,347861176.0451174,53375809430.0662
209.1,346426546.7000745,53596850523.05751
209.15,344995607.07544434,53819154388.95007
209.2,343568351.8068929,54042730487.40802
209.25,342144775.5768149,54267588360.51359
209.3,340724873.11448765,54493737633.48364
209.35,339308639.19535226,54721188015.53115
209.4,337896068.6414438,54949949300.55117
209.45,336487156.32132655,55180031367.88997
209.5,335081897.14953685,55411444183.2017
209.55,333680286.0868682,55644197799.17469
209.6,332282318.14010715,55878302356.353325
209.65,330887988.36253524,56113768083.837715
209.7,329497291.8531811,56350605300.19842
209.75,328110223.756802,56588824414.27726
209.8,326726779.2641286,56828435925.94801
209.85,325346953.6117004,57069450426.952324
209.9,323970742.0816858,57311878601.74524
209.95,322598140.00219846,57555731228.259285
210.0,321229142.74661255,57801019178.85124
210.05,319863745.7338893,58047753421.07706
210.1,318501944.42839324,58295945018.5626
210.15,317143734.34041005,58545605131.75197
210.2,315789111.0248871,58796745018.9871
210.25,314438070.0823683,59049376037.19262
210.3,313090607.1589901,59303509642.7349
210.35,311746717.94550145,59559157392.47263
210.4,310406398.1781984,59816330944.45341
210.45,309069643.6384497,60075042058.87991
210.5,307736450.152497,60335302599.032196
210.55,306406813.5918907,60597124532.07109
210.6,305080729.872761,60860519930.07465
210.65,303758194.95674735,61125500970.75318
210.7,302439204.84983927,61392079938.583275
210.75,301123755.60303,61660269225.58767
210.8,299811843.31243414,61930081332.223495
210.85,298503464.1185181,62201528868.45858
210.9,297198614.2067065,62474624554.57138
210.95,295897289.8072489,62749381222.10551
211.0,294599487.1948738,63025811814.87534
211.05,293305202.6890114,63303929389.85707
211.1,292014432.6539419,63583747118.09728
211.15,290727173.49824816,63865278285.776665
211.2,289443421.6751126,64148536295.09654
211.25,288163173.6824422,64433534665.204185
211.3,286886426.0626836,64720287033.1899
211.35,285613175.4025107,65008807155.118645
211.4,284343418.3332586,65299108906.89723
211.45,283077151.531021,65591206285.217224
211.5,281814371.7157341,65885113408.736244
211.55,280555075.65195286,66180844518.874245
211.6,279299260.1490849,66478413980.73151
211.65,278046922.06052524,66777836284.26985
211.7,276798058.28409016,67079126045.19203
211.75,275552665.7620408,67382298005.91779
211.8,274310741.48080194,67687367036.6363
211.85,273072282.4714967,67994348136.16046
211.9,271837285.809477,68303256433.027504
211.95,270605748.6142673,68614107186.50179
212.0,269377668.0498033,68926915787.5036
212.05,268153041.32449165,69241697759.58104
212.1,266931865.69090915,69558468759.97481
212.15,265714138.4459865,69877244580.55968
212.2,264499856.93090802,70198041148.85785
212.25,263289018.53122514,70520874528.99548
212.3,262081620.6770317,70845760922.63956
212.35,260877660.8423377,71172716670.14888
212.4,259677136.5456464,71501758251.40114
212.45,258480045.35000566,71832902286.75476
212.5,257286384.86244693,72166165538.17868
212.55,256096152.73455733,72501564910.06682
212.6,254909346.66211236,72839117450.30806
212.65,253725964.38537526,73178840351.16556
212.7,252546003.68894282,73520750950.27855
212.75,251369462.40171993,73864866731.62354
212.8,250196338.39702633,74211205326.43085
212.85,249026629.5924633,74559784514.16518
212.9,247860333.95018974,74910622223.37767
212.95,246697449.47667465,75263736532.70561
213.0,245537974.2227732,75619145671.76878
213.05,244381906.28403562,75976868021.98341
213.1,243229243.8000598,76336922117.66162
213.15,242079984.95513847,76699326646.70209
213.2,240934127.97803608,77064100451.53722
213.25,239791671.1418559,77431262530.04347
213.3,238652612.76450396,77800832036.24794
213.35,237516951.2082576,78172828281.30785
213.4,236384684.879641,78547270734.38266
213.45,235255812.23020008,78924179023.1926
213.5,234130331.7558735,79303572935.02235
213.55,233008241.9971456,79685472417.45358
213.6,231889541.53910294,80069897579.11064
213.65,230774229.01156533,80456868690.36136
213.7,229662303.08895174,80846406184.08963
213.75,228553762.4903303,81238530656.38525
213.8,227448605.97944131,81633262867.22182
213.85,226346832.3647363,82030623741.10608
213.9,225248440.49944267,82430634367.69426
213.95,224153429.2814659,82833316002.44287
214.0,223061797.65347525,83238690067.16766
214.05,221973544.60301366,83646778150.56529
214.1,220888669.16240478,84057602008.7818
214.15,219807170.40844616,84471183566.03638
214.2,218729047.46324396,84887544914.77875
214.25,217654299.49360836,85306708316.35992
214.3,216582925.71099383,85728696201.46796
214.35,215514925.37203,86153531170.29457
214.4,214450297.77807665,86581235993.04718
214.45,213389042.2754453,87011833610.16211
214.5,212331158.2552565,87445347132.62337
214.55,211276645.15381515,87881799842.02864
214.6,210225502.45221126,88321215190.92886
214.65,209177729.67632562,88763616802.96178
214.7,208133326.39740795,89209028472.69408
214.75,207092292.23146895,89657474165.91426
214.8,206054626.83931738,90108978019.60953
214.85,205020329.92713895,90563564341.65065
214.9,203989401.24580562,91021257610.9744
214.95,202961840.5913109,91482082477.22105
215.0,201937647.8046092,91946063760.5738
215.05,200916822.77180356,92413226451.38214
215.1,199899365.42388105,92883595709.92783
215.15,198885275.73658013,93357196866.07185
215.2,197874553.73104465,93834055418.4651
215.25,196867199.47321182,94314197034.2774
215.3,195863213.0739456,94797647548.51144
215.35,194862594.6891861,95284432963.23042
215.4,193865344.5196455,95774579446.92819
215.45,192871462.81116208,96268113333.50006
215.5,191880949.8543268,96765061121.48688
215.55,190893805.98467454,97265449472.9574
215.6,189910031.58251393,97769305212.48196
215.65,188929627.07314146,98276655325.82031
215.7,187952592.9265446,98787526958.7761
215.75,186978929.65748438,99301947415.76157
215.8,186008637.82541397,99819944158.34636
215.85,185041718.0343698,100341544803.71921
215.9,184078170.93332803,100866777122.7903
215.95,183117997.21559218,101395669038.70613
216.0,182161197.61895743,101928248624.83554
216.05,181207772.92575896,102464544102.6968
216.1,180257723.96278188,103004583839.83885
216.15,179311051.60119262,103548396347.58687
216.2,178367756.75619027,104096010278.8225
216.25,177427840.38723615,104647454425.3011
216.3,176491303.49810025,105202757714.93044
216.35,175558147.13631377,105761949209.26161
216.4,174628372.39337003,106325058100.39735
