wavelength_nm,v_g_over_c,enhancement,V_standard,V_enz
1.179959919839679287e+03,6.484415279903428253e-01,1.542159095052426876e+00,4.493289641172215632e-01,2.912051503886102788e-01
1.182164328657314627e+03,6.467681602325630053e-01,1.546149086313127974e+00,4.493289641172215632e-01,2.902771075256496691e-01
1.184368737474949967e+03,6.450873163048838066e-01,1.550177742957475679e+00,4.493289641172215632e-01,2.893430720590814964e-01
1.186573146292585079e+03,6.433989376140747396e-01,1.554245649997983980e+00,4.493289641172215632e-01,2.884029859858982525e-01
1.188777555110220419e+03,6.417029646862029146e-01,1.558353404972979694e+00,4.493289641172215632e-01,2.874567904927139983e-01
1.190981963927855759e+03,6.399993371479878457e-01,1.562501618292721384e+00,4.493289641172215632e-01,2.865044259415281958e-01
1.193186372745491099e+03,6.382879937076404442e-01,1.566690913597282853e+00,4.493289641172215632e-01,2.855458318551977737e-01
1.195390781563126211e+03,6.365688721351726587e-01,1.570921928126661982e+00,4.493289641172215632e-01,2.845809469026124860e-01
1.197595190380761551e+03,6.348419092421559995e-01,1.575195313103623374e+00,4.493289641172215632e-01,2.836097088835681790e-01
1.199799599198396663e+03,6.331070408609161815e-01,1.579511734129781297e+00,4.493289641172215632e-01,2.826320547133316374e-01
1.202004008016032003e+03,6.313642018231353514e-01,1.583871871595486702e+00,4.493289641172215632e-01,2.816479204068866316e-01
1.204208416833667343e+03,6.296133259378515756e-01,1.588276421104068081e+00,4.493289641172215632e-01,2.806572410628626058e-01
1.206412825651302683e+03,6.278543459688253892e-01,1.592726093911043250e+00,4.493289641172215632e-01,2.796599508471299123e-01
1.208617234468937795e+03,6.260871936112568648e-01,1.597221617378918879e+00,4.493289641172215632e-01,2.786559829760623108e-01
1.210821643286573135e+03,6.243117994678272220e-01,1.601763735448240800e+00,4.493289641172215632e-01,2.776452696994557989e-01
1.213026052104208475e+03,6.225280930240443267e-01,1.606353209125578108e+00,4.493289641172215632e-01,2.766277422830987209e-01
1.215230460921843587e+03,6.207360026228618821e-01,1.610990816989176677e+00,4.493289641172215632e-01,2.756033309909856066e-01
1.217434869739478927e+03,6.189354554385498863e-01,1.615677355713036167e+00,4.493289641172215632e-01,2.745719650671666900e-01
1.219639278557114267e+03,6.171263774497898202e-01,1.620413640610202766e+00,4.493289641172215632e-01,2.735335727172285014e-01
1.221843687374749607e+03,6.153086934119614826e-01,1.625200506196131434e+00,4.493289641172215632e-01,2.724880810893957062e-01
1.224048096192384719e+03,6.134823268285969355e-01,1.630038806772984072e+00,4.493289641172215632e-01,2.714354162552483629e-01
1.226252505010020059e+03,6.116471999219674771e-01,1.634929417035797306e+00,4.493289641172215632e-01,2.703755031900479389e-01
1.228456913827655171e+03,6.098032336027717770e-01,1.639873232701491323e+00,4.493289641172215632e-01,2.693082657526628676e-01
1.230661322645290511e+03,6.079503474388917583e-01,1.644871171161745638e+00,4.493289641172215632e-01,2.682336266650882095e-01
1.232865731462925851e+03,6.060884596231821408e-01,1.649924172160811109e+00,4.493289641172215632e-01,2.671515074915527532e-01
1.235070140280561191e+03,6.042174869402516801e-01,1.655033198499409552e+00,4.493289641172215632e-01,2.660618286172015678e-01
1.237274549098196530e+03,6.023373447322060148e-01,1.660199236765887987e+00,4.493289641172215632e-01,2.649645092263557822e-01
1.239478957915831643e+03,6.004479468633026062e-01,1.665423298095911386e+00,4.493289641172215632e-01,2.638594672803320496e-01
1.241683366733466983e+03,5.985492056834806895e-01,1.670706418962004003e+00,4.493289641172215632e-01,2.627466194948224198e-01
1.243887775551102095e+03,5.966410319907237136e-01,1.676049661994328810e+00,4.493289641172215632e-01,2.616258813168254038e-01
1.246092184368737435e+03,5.947233349922004253e-01,1.681454116834199208e+00,4.493289641172215632e-01,2.604971669011191260e-01
1.248296593186372775e+03,5.927960222641458499e-01,1.686920901021847330e+00,4.493289641172215632e-01,2.593603890862745676e-01
1.250501002004008114e+03,5.908589997104232161e-01,1.692451160920108721e+00,4.493289641172215632e-01,2.582154593701975198e-01
1.252705410821643227e+03,5.889121715197181972e-01,1.698046072675741147e+00,4.493289641172215632e-01,2.570622878851973048e-01
1.254909819639278567e+03,5.869554401213070705e-01,1.703706843220208267e+00,4.493289641172215632e-01,2.559007833725732151e-01
1.257114228456913906e+03,5.849887061393441723e-01,1.709434711311845767e+00,4.493289641172215632e-01,2.547308531567163969e-01
1.259318637274549019e+03,5.830118683456028128e-01,1.715230948621463414e+00,4.493289641172215632e-01,2.535524031187186833e-01
1.261523046092184359e+03,5.810248236106063668e-01,1.721096860863528644e+00,4.493289641172215632e-01,2.523653376694854900e-01
1.263727454909819699e+03,5.790274668530861479e-01,1.727033788975204542e+00,4.493289641172215632e-01,2.511695597223489451e-01
1.265931863727455038e+03,5.770196909876875724e-01,1.733043110345670934e+00,4.493289641172215632e-01,2.499649706651762837e-01
1.268136272545090151e+03,5.750013868708586662e-01,1.739126240098257448e+00,4.493289641172215632e-01,2.487514703319716192e-01
1.270340681362725491e+03,5.729724432448343174e-01,1.745284632428115712e+00,4.493289641172215632e-01,2.475289569739677065e-01
1.272545090180360603e+03,5.709327466796403350e-01,1.751519781998275072e+00,4.493289641172215632e-01,2.462973272302073358e-01
