t_s,tau_ent_s,lambda_s_inv,norm2
4.699999999999989e-13,0.47000000000000036,1000000000000.0,0.39062764411351697
4.724999999999989e-13,0.47250000000000036,1000000000000.0,0.3886793795984005
4.74999999999999e-13,0.47500000000000037,1000000000000.0,0.3867408320981396
4.77499999999999e-13,0.47750000000000037,1000000000000.0,0.38481195314889544
4.799999999999991e-13,0.48000000000000037,1000000000000.0,0.38289269452854335
4.824999999999991e-13,0.4825000000000004,1000000000000.0,0.3809830082554681
4.849999999999991e-13,0.4850000000000004,1000000000000.0,0.3790828465873636
4.874999999999992e-13,0.4875000000000004,1000000000000.0,0.3771921620200398
4.899999999999992e-13,0.4900000000000004,1000000000000.0,0.37531090728623456
4.924999999999993e-13,0.4925000000000004,1000000000000.0,0.37343903535443285
4.949999999999993e-13,0.4950000000000004,1000000000000.0,0.37157649942769005
4.974999999999993e-13,0.4975000000000004,1000000000000.0,0.36972325294246217
4.999999999999994e-13,0.5000000000000003,1000000000000.0,0.3678792495674427
5.024999999999994e-13,0.5025000000000003,1000000000000.0,0.36604444320240304
5.049999999999995e-13,0.5050000000000002,1000000000000.0,0.36421878797704066
5.074999999999995e-13,0.5075000000000002,1000000000000.0,0.3624022382498324
5.099999999999995e-13,0.5100000000000001,1000000000000.0,0.36059474860689317
5.124999999999996e-13,0.5125000000000001,1000000000000.0,0.35879627386084073
5.149999999999996e-13,0.515,1000000000000.0,0.3570067690496657
5.174999999999997e-13,0.5175,1000000000000.0,0.35522618943560813
5.199999999999997e-13,0.5199999999999999,1000000000000.0,0.35345449050403865
5.224999999999997e-13,0.5224999999999999,1000000000000.0,0.35169162796234543
5.249999999999998e-13,0.5249999999999998,1000000000000.0,0.3499375577388272
5.274999999999998e-13,0.5274999999999997,1000000000000.0,0.3481922359815914
5.299999999999999e-13,0.5299999999999997,1000000000000.0,0.34645561905745775
5.324999999999999e-13,0.5324999999999996,1000000000000.0,0.3447276635508674
5.349999999999999e-13,0.5349999999999996,1000000000000.0,0.34300832626279776
